Replacement Policy = FIFO
-------------------------------------
Page   Content of Frames
----   -----------------
77     77 
41     77 41 
15     77 41 15 
94     77 41 15 94 
23     77 41 15 94 23 
87     77 41 15 94 23 87 
55     77 41 15 94 23 87 55 
80     77 41 15 94 23 87 55 80 
68     77 41 15 94 23 87 55 80 68 
63     77 41 15 94 23 87 55 80 68 63 
52     77 41 15 94 23 87 55 80 68 63 52 
41     77 41 15 94 23 87 55 80 68 63 52 
86     77 41 15 94 23 87 55 80 68 63 52 86 
51     77 41 15 94 23 87 55 80 68 63 52 86 51 
47     77 41 15 94 23 87 55 80 68 63 52 86 51 47 
83     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 
54     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 
32     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 
23     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 
82     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 
60     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 
65     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 
74     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 
09     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 
06     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 
93     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 
91     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 
23     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 
30     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 
21     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 
57     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 
37     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 
12     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 
53     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 
53     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 
15     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 
31     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 
02     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 
72     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 
46     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 
05     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 
86     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 
02     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 
13     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 
93     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 
55     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 
50     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 
65     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 
57     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 
76     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 
96     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 
08     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 
55     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 
91     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 
90     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 
67     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 
11     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 
68     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 
46     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 
58     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 
19     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 
43     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 
25     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 
58     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 
46     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 
09     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 
14     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 
93     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 
69     77 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
26 F   26 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
72     26 41 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
75 F   26 75 15 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
61 F   26 75 61 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
69     26 75 61 94 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
41 F   26 75 61 41 23 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
35 F   26 75 61 41 35 87 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
01 F   26 75 61 41 35 01 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
51     26 75 61 41 35 01 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
01     26 75 61 41 35 01 55 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
03 F   26 75 61 41 35 01 03 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
32     26 75 61 41 35 01 03 80 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
10 F   26 75 61 41 35 01 03 10 68 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
94 F   26 75 61 41 35 01 03 10 94 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
61     26 75 61 41 35 01 03 10 94 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
72     26 75 61 41 35 01 03 10 94 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
65     26 75 61 41 35 01 03 10 94 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
32     26 75 61 41 35 01 03 10 94 63 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
59 F   26 75 61 41 35 01 03 10 94 59 52 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
85 F   26 75 61 41 35 01 03 10 94 59 85 86 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
28 F   26 75 61 41 35 01 03 10 94 59 85 28 51 47 83 54 32 82 60 65 74 09 06 93 91 30 21 57 37 12 53 31 02 72 46 05 13 50 76 96 08 90 67 11 58 19 43 25 14 69 
